Model / baseline,Mean score,Std.,Min,Max,95% bootstrap CI
Doubao Seed 2.0 Pro,8.208333333333334,3.5801019021292717,3.8333333333333335,11.75,"[5.33, 11.08]"
Gemini 3 Flash Preview,13.604166666666666,7.272275804063702,8.333333333333332,23.75,"[8.33, 19.90]"
GLM-4.7,6.083333333333333,1.6471074533748438,3.8333333333333335,7.666666666666667,"[4.58, 7.46]"
GPT-4o Mini,6.8981111111111115,1.1044928071794362,5.167,8.25,"[6.23, 7.57]"
GPT-5,10.28125,2.677780968021547,4.833333333333333,13.583333333333334,"[8.48, 11.89]"
o3 Mini,8.4165,3.00837104316162,6.25,12.833,"[6.54, 11.33]"
Qwen Plus,7.729041666666666,3.0993659793910027,2.8333333333333335,12.833,"[5.68, 9.94]"
