Species,Seats,Mean score,Std.,Min,Max,95% bootstrap CI
Caylion,33,12.151474747474747,7.589054151205713,5.416666666666667,31.5,"[9.74, 14.66]"
Eni,27,6.851851851851852,3.187627434467313,2.3333333333333335,18.75,"[5.79, 8.01]"
Faderan,12,16.020777777777777,11.515180966602422,3.5,39.333333333333336,"[10.16, 22.06]"
Im,32,6.213552083333333,2.2131983596773863,3.0,13.666666666666666,"[5.51, 6.97]"
Kit,12,10.972194444444446,7.115796200342926,4.0,30.666666666666668,"[7.66, 15.28]"
Yengii,29,9.85344827586207,4.131317623201668,2.6666666666666665,20.416666666666668,"[8.41, 11.32]"
